"Display_Row","Drug","Percentage","Cohort","Group","Total_Species","Sig_Count"
"Streptococcus (MetaCardis)","Azilsartan",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Bisoprolol",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Carvedilol",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Clopidogrel",0.108108108108108,"MetaCardis","Streptococcus",37,4
"Streptococcus (MetaCardis)","Dapagliflozin",0.027027027027027,"MetaCardis","Streptococcus",37,1
"Streptococcus (MetaCardis)","Diltiazem",0.027027027027027,"MetaCardis","Streptococcus",37,1
"Streptococcus (MetaCardis)","Enalapril",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Esomeprazole",0.297297297297297,"MetaCardis","Streptococcus",37,11
"Streptococcus (MetaCardis)","Fenofibrate",0.0540540540540541,"MetaCardis","Streptococcus",37,2
"Streptococcus (MetaCardis)","Fluvastatin",0.0810810810810811,"MetaCardis","Streptococcus",37,3
"Streptococcus (MetaCardis)","Furosemide",0.135135135135135,"MetaCardis","Streptococcus",37,5
"Streptococcus (MetaCardis)","Glibenclamide",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Gliclazide",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Indapamide",0.027027027027027,"MetaCardis","Streptococcus",37,1
"Streptococcus (MetaCardis)","Irbesartan",0.0540540540540541,"MetaCardis","Streptococcus",37,2
"Streptococcus (MetaCardis)","Lansoprazole",0.243243243243243,"MetaCardis","Streptococcus",37,9
"Streptococcus (MetaCardis)","Liraglutide",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Metformin",0.108108108108108,"MetaCardis","Streptococcus",37,4
"Streptococcus (MetaCardis)","Metoprolol",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Nifedipine",0.0540540540540541,"MetaCardis","Streptococcus",37,2
"Streptococcus (MetaCardis)","Olmesartan",0.216216216216216,"MetaCardis","Streptococcus",37,8
"Streptococcus (MetaCardis)","Omeprazole",0.0810810810810811,"MetaCardis","Streptococcus",37,3
"Streptococcus (MetaCardis)","Prasugrel",0.0540540540540541,"MetaCardis","Streptococcus",37,2
"Streptococcus (MetaCardis)","Pravastatin",0.027027027027027,"MetaCardis","Streptococcus",37,1
"Streptococcus (MetaCardis)","Rabeprazole",0.108108108108108,"MetaCardis","Streptococcus",37,4
"Streptococcus (MetaCardis)","Repaglinide",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Rivaroxaban",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Rosuvastatin",0.027027027027027,"MetaCardis","Streptococcus",37,1
"Streptococcus (MetaCardis)","Sitagliptin",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Torasemide",0.0540540540540541,"MetaCardis","Streptococcus",37,2
"Streptococcus (MetaCardis)","Verapamil",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Vildagliptin",0.027027027027027,"MetaCardis","Streptococcus",37,1
"Streptococcus (MetaCardis)","Warfarin",0.027027027027027,"MetaCardis","Streptococcus",37,1
